"date";"bank";"account";"number";"mode";"payee";"comment";"quantity";"unit";"amount";"sign";"category";"status";"tracker";"bookmarked";"id";"idtransaction";"idgroup"
"0000-00-00";"swedbank";"Buffer";"";"";"";"";"0.00";"kr";"0.00";"";"";"Y";"";"N";"7";"7";"0"
"0000-00-00";"swedbank";"Card";"";"";"";"";"0.00";"kr";"0.00";"";"";"Y";"";"N";"8";"8";"0"
"2023-05-01";"swedbank";"Buffer";"";"";"Work";"";"500.00";"kr";"500.00";"+";"Salary";"N";"";"N";"2";"2";"0"
"2023-05-01";"swedbank";"Buffer";"";"";"";"";"-100.00";"kr";"-100.00";"-";"";"N";"";"N";"9";"9";"3"
"2023-05-01";"swedbank";"Card";"";"";"";"";"100.00";"kr";"100.00";"+";"";"N";"";"N";"10";"10";"3"
"2023-05-06";"swedbank";"Card";"";"";"Coop";"";"-43.00";"kr";"-43.00";"-";"Food";"N";"";"N";"3";"3";"0"
"2023-05-07";"swedbank";"Buffer";"";"";"";"";"-100.00";"kr";"-100.00";"-";"";"N";"";"N";"11";"11";"4"
"2023-05-07";"swedbank";"Card";"";"";"";"";"100.00";"kr";"100.00";"+";"";"N";"";"N";"12";"12";"4"
"2023-05-08";"swedbank";"Card";"";"";"Coop";"";"-36.00";"kr";"-36.00";"-";"Food";"N";"";"N";"4";"4";"0"
"2023-05-10";"swedbank";"Card";"";"";"Coop";"";"-92.00";"kr";"-92.00";"-";"Food";"N";"";"N";"5";"5";"0"
"2023-05-14";"swedbank";"Buffer";"";"";"";"";"-100.00";"kr";"-100.00";"-";"";"N";"";"N";"13";"13";"5"
"2023-05-14";"swedbank";"Card";"";"";"";"";"100.00";"kr";"100.00";"+";"";"N";"";"N";"14";"14";"5"
"2023-05-17";"swedbank";"Card";"";"";"Coop";"";"-54.00";"kr";"-54.00";"-";"Food";"N";"";"N";"6";"6";"0"
